Tweet,Sentiment
awesome,Positive
 remember that ask josh hashtag i used to do i might do one again soon that was fun,Neutral
 remember that ask josh hashtag i used to do i might do one again soon that was fun,Neutral
decent 2nd half this needs a winner,Neutral
decent 2nd half this needs a winner,Positive
patiently waits for a loyal  member to get a follow,Neutral
 next 5 to follow  gets a shoutout  when done,Neutral
 next 5 to follow  gets a shoutout  when done,Neutral
 this is all you need to know about him,Neutral
math homework government review to do but i really just wanna nap ,Negative
ooooooo looks intriguing i need to sit and read this through properly when my head isnt so mashed,Neutral
and blondie   ,Neutral
myth 5 false,Negative
ive seen some stuff,Negative
his smile is big as much as his heart,Neutral
beeeen please follow me  x50,Positive
  cough lair cough liar,Negative
ive collected 299 100 gold coins,Positive
 ludacris  my chick bad vevos guess the video      ,Neutral
 chargers makin me look like a sorry cornerback ,Negative
 this is tiger  hes a threeyearold german shepard with pituitary dwarfism,Neutral
terry gets a little too happy when he hugs girls,Negative
what would you call your anaconda,Neutral
i dont fuck with you  big sean,Negative
one of the worst things in the world is when you crave someone you know youll never be with,Negative
 extra yummy week ahead are you ready for ,Neutral
that email is hilarious really want to see someone do the 100k bonus package,Positive
 hey mexicooo and usa you can get the amnesia ep on september 23rd baby oh yeahhhh,Positive
 hey mexicooo and usa you can get the amnesia ep on september 23rd baby oh yeahhhh,Positive
im always cold,Negative
installer needed in  ,Neutral
 youtubegttv,Positive
been born with stress just trying to get stress free,Negative
been born with stress just trying to get stress free,Neutral
hi guy at the airport pulling down your pants to tuck in your shirt,Negative
thank you everyone for listening and thank you  that was so much fun lets do it again sometime,Positive
and i get my first fdu parking ticket of the semester cheers,Negative
usher tickets high af too im tryna do the buffet amp bar tho,Positive
lol i look like a what ,Negative
lol i look like a what ,Neutral
fuckkkkkkkkkkkkkkkkkkk ,Negative
 2 days till chef george  comes to  3 courses amp masterclass   ,Neutral
my queen mother of dragons and good choices,Positive
my queen mother of dragons and good choices,Positive
youve got a mouth like a razorblade it cuts so deep so kiss my wrists my neck and give me eternal sleep,Neutral
to those who are so excited for the new iphoneyoure welcome,Negative
isis threatens life of next captive,Neutral
its so nice to see so many musical theatre actors in  such incredible performances isnt  our best,Positive
photoset lindsay lohan  wonderland magazine  septemberoctober 2014,Neutral
stay active and healthy in the office check out these tips,Positive
25m  on the road in 2015   get ready to be smarter,Neutral
25m  on the road in 2015   get ready to be smarter,Neutral
 dont say forever then give up on me,Negative
i have it jus pains me that peoples feeling r deeply hurt yes its jus twitter but are feelings jus feelings ha ke rate ey,Neutral
im getting just so so so so damn sick kf you and your stupid ego,Negative
i just added four legs good no legs bad dogs snakes doctors and police in colonial australia to ,Neutral
 if its too hot to go to school why do we have to go for half the day ,Negative
love ur layout beautiful ,Positive
so there was motzarella and basil ravioli for dinner at school today but it run out,Negative
 be more focused on your divine cause  hebrews 122  fixing our eyes on jesus the pioneer and ,Neutral
 te ma zo 80s huey lewis and the news  power of love bso back to the future,Neutral
know me too well ,Positive
waiting for the cold weather ,Negative
  niall at a club in las vegas  14092014 via,Neutral
hahaha she is a very bad influence but i wouldnt say no ,Neutral
i guess the fearhand and slice of god will counterbalance the missing 20,Neutral
hey im playing castle clash come join me and lets kick some ass,Neutral
 hey coach q  we hope you have a fanstachetic birthday,Positive
club martinis is finna go down like it always do on mondays if its your birthday come on let do it virgos and libras,Positive
club martinis is finna go down like it always do on mondays if its your birthday come on let do it virgos and libras,Positive
apparently david cameron wont last forever,Negative
 hey mexicooo and usa you can get the amnesia ep on september 23rd baby oh yeahhhh,Positive
yes   but we wont call this a spanking next poll show adrian petersons sons pics along w question,Neutral
send in your submissions ladies cakebattersubmissionscom,Neutral
what  says,Neutral
   bruh thats just how i talk 511622175019642880 warningtweepybinderrate limit reached sleeping for,Neutral
 bound remix coming soon,Neutral
 its  this year what rachelrossmonicachandlerjoeyphoebe themed songs would u put in  mixtape httpt,Neutral
    ayyyye we can all be a squad ,Positive
 i have no problem  committing myself  to one person  ,Neutral
 oh shit ,Negative
 fill in the blank and ill tell you your age,Neutral
 fill in the blank and ill tell you your age,Neutral
good morning lmao,Positive
 sometimes i feel like everything is falling apart ampnothing is worth doing ampwalls are closing in on methen i realize tha,Negative
i will piss in the carpet if i want,Negative
gosh i hate ppl that cant get that right,Negative
gosh i hate ppl that cant get that right,Negative
no ideas original 91314 underground hiphop radio,Neutral
you aint gotta have asthma to get hit with the pump,Positive
wow that was intense thanks to everybody who rocked up today,Positive
maybe its time to leave the past in the past,Positive
 women worked hard 2get this privilege dont take it 4 grantedexercise ur right 2vote   ,Neutral
 women worked hard 2get this privilege dont take it 4 grantedexercise ur right 2vote   ,Neutral
 angry take a deep breath before you speak because your mouth acts quicker than your brain  lol,Neutral
he is looking so sexy lord,Positive
he is looking so sexy lord,Positive
i keep trying to lose weight but it keeps finding me,Negative
i keep trying to lose weight but it keeps finding me,Negative
 study people who perform extraordinary acts of altruism show key differences in brain structure and activity ,Positive
i might see you,Positive
have a really bad headache ,Negative
have a really bad headache ,Negative
 bullshit   how many times will you say small tree branch to try amp emphasize the beating it httpt,Negative
im stuck myself can see me ending up with 2 or 3 copies of the album,Negative
desaturated version,Neutral
honestly you only live one time,Neutral
please follow me guys im from brazil u can see me i love u so so so much  xxx,Neutral
love that the amount of hours is not including oth 90210 and all my other shows that have been concluded,Positive
 hopes the girls mampg wont cost more than 100 and will stay the same throughout their whole career thanks,Neutral
 to the fans that left and said that one direction was done after the third album,Neutral
i absolutely adore tks smile here it shows off all his delicious features ,Positive
thank you so much,Positive
 a 10yearold goldfish had surgery to remove a tumor hes expected to live another 20 years  httpt,Neutral
 new video bleaching my hair ask jack   check it out make sure to thumbs up amp ,Neutral
pleeeeease,Neutral
 no more fermenting cocoa beans mars files a patent for a new process that treats unfermented cocoa beans w ethanol http,Neutral
 aint worried bout a bitch ass thang babyjay,Positive
i think i just dislocated my ankle oh okay,Negative
yes maam,Neutral
ahmad funny as hell ,Positive
 live emergency  squawk  circling above majorca balearics  ,Neutral
what do eric nerison brennen becker alex becker jenna harrop and jon schaefer all have in common  deca welcome aboard,Neutral
im so happy for everyone who got their tickets for ari,Positive
please follow me i love you so much  57,Positive
yes it would,Neutral
yes it would,Neutral
 my thoughts everyday ,Neutral
som1 make 4v4 team,Neutral
     hello james ill be really happy if you follow me       58,Neutral
 the 12 most stunning celebrity wedding dresses of 2014,Neutral
 follow spree in an hour ,Positive
 eric mccormack is  ifoa on wed   for a chance to win tickets our blog has details,Positive
   can never have enough of kevin gates ,Neutral
all we know is grind and success and accept nothing less,Neutral
all we know is grind and success and accept nothing less,Neutral
back to school tips for your,Neutral
 i wish i could live inside my dreams i feel it preach,Positive
benediction  august alsina,Neutral
kimbra 90s music official music video  via,Neutral
bitesized mr goodbars are still amazing,Positive
rugby salary cap changes expected the premiership salary cap is set to rise from its current 5m limi,Neutral
seriously bae,Neutral
 hello again  its my last day here in san francisco california tomorrow im flying to austin ,Neutral
 hello again  its my last day here in san francisco california tomorrow im flying to austin ,Neutral
i love you so fuck damn much nobody on this universe can understand please follow me amp   x33,Neutral
i love you so fuck damn much nobody on this universe can understand please follow me amp   x33,Positive
random thoughts,Neutral
night night babe,Positive
lol nah its cool honestly just some school drama it dont really matter to quote tswift i shake it off ,Positive
 poor bingo he died weeks ago in the japanese aquarium captivity does kill,Negative
new  vid ,Neutral
what sub,Neutral
what sub,Neutral
obsessive compulsive cycling disorder,Neutral
so lovely here,Positive
so lovely here,Positive
 moes sounds so good,Positive
whos there,Neutral
 before sleeping most people will imagine stuff they want to happen,Neutral
 statement carthy calls on eu to assist reengagement of irish peace process,Neutral
lol thats why i like her u probably like john snow u lil gay,Neutral
its hot even a thing,Neutral
its hot even a thing,Neutral
hi my sunshineyour smiles changes my lifethanks for thisill always love youplease follow me its my biggest dream  x55,Positive
hi my sunshineyour smiles changes my lifethanks for thisill always love youplease follow me its my biggest dream  x55,Neutral
 hi im link,Neutral
art history where everyone is pretentious as fuck,Negative
   you guys are meant to be ,Positive
 constantly stuck between if its meant to be itll happen and if you want it go get it,Positive
 im way too laid back to be disliked for no reason,Neutral
ah thats good then hahha and dvds  xx,Positive
the true love from the mother to his son,Neutral
my son has been awarded prince of his freshman class  clinton high school  father,Positive
maaann lol  im gone man   how creative,Positive
 content creation drivers how do you do ___ what does ___ mean for you what do you need to know about ___  conte,Neutral
happy birthday pretty i hope your day was amazing,Positive
 are you sure you can watch her love someone the way she tried to love you,Neutral
 are you sure you can watch her love someone the way she tried to love you,Neutral
 the fact that he think he can just pull my hair ,Negative
 the fact that he think he can just pull my hair ,Negative
and for some reason there always my age,Neutral
  oreomcstyles  your header is so trippy i love it also im craving oreos  lt these arent oreos but ok,Neutral
surge pop is back as if there currently isnt enough lemonlime flavored soda on the market ,Negative
financial optimism is a healthy sign but its going to take more than hope to make financial success a reality ,Negative
financial optimism is a healthy sign but its going to take more than hope to make financial success a reality ,Neutral
i love kendall so much ,Positive
click to  pompeii on bluray with,Neutral
aliando syarief  mancity  chelsea,Neutral
stretchhhhhhh,Positive
dont put a limit on anything the more you dream the farther you get  michael phelps,Neutral
dont put a limit on anything the more you dream the farther you get  michael phelps,Positive
mrk last price click here  also see brkb amba rig uvxy ,Neutral
5 proven ways to crush it in 2014 gtgtgtgt,Positive
exactly thanks tim headed back to the barn after dinner,Positive
exactly thanks tim headed back to the barn after dinner,Neutral
absolutely,Positive
absolutely,Neutral
does he hit paydirt,Negative
that will never happy babe i miss more and i will win,Neutral
i just beat you in radar off singles kid how are you going to say stick to radar when you just lost to me lmao,Neutral
 if u dont have  yet you can get it here ,Neutral
 if u dont have  yet you can get it here ,Neutral
 follow me pls      brazil loves u  i love you so much    x50,Neutral
 havent planned your trip to  for  yet there are still hotel rooms available ,Neutral
 can i have your daughter for the rest of my life say yes say yes cause i need to know charlie ,Neutral
made from the finest canadian impermeable paper of course ,Positive
i posted a new photo to facebook,Neutral
silly dragon,Negative
smh  i remember the police saying they were investigating mercy keinos death kesho utaskia wameanza investigation,Negative
smh  i remember the police saying they were investigating mercy keinos death kesho utaskia wameanza investigation,Neutral
 searching for the booty w,Neutral
i texted your phone i done been in dyersburg so many times i just left from there yesterday,Negative
 new years eve 2014     its my birthday i must go,Neutral
asshly,Neutral
asshly,Neutral
a very cute war,Positive
you roll it inwards and pull down,Neutral
you should follow me cause i love you    ,Positive
picture day is my least favourite day ever,Negative
picture day is my least favourite day ever,Negative
larry chiang duck9 chiang9com my mentor wrote,Neutral
dday to holler,Positive
lmfaoo foh   lol aint forgiving you mxmunless ,Positive
forget unfollowers i believe in growing 41 new followers in the last week stats via,Positive
niall and liam are real zourrry may be robots but liam and niall are real real real,Neutral
i think so they have deli counters amazing salads great veg unusual booze even their square sausage is amazing not the best,Negative
crepes tomorrow dont forget to bring whatever youd like for your filling,Positive
 jack and i just found our house i think ,Positive
cheers matt pleased after a really hard year thanks to you and the guys for your continued support,Positive
this grand damme looking to keep the little miss company ,Neutral
this grand damme looking to keep the little miss company ,Positive
fiiiiine but only if theres more sunday fundays,Neutral
do you ever walk into a room and feel like everyone staring at you ahaha demilove you,Neutral
okay cool ill be there ,Neutral
as many as 700 migrants feared drowned in mediterranean,Negative
i have house on my island now my island is even more awesome,Positive
new issue of econjournal watch is out,Neutral
 they want me locked and detained but they aint stopping my reign still on the block i remain watching out for cr,Neutral
 nonono i want one its so cute,Positive
  please retweet if you retweet that gives us a vote with your help we could win 3000  gnk b of s ,Neutral
nice ,Positive
nice ,Positive
talking doesnt cook rice youve got to take action to get results,Negative
 really hoping that this week flys by,Negative
 facts ,Neutral
kid cudi is trash now,Negative
yes d was in brussel and the was an exhibition,Positive
tuesday  rained off  lets hope for better weather tomorrow at tait communications,Negative
look how things change nicki on top and kim mad,Positive
  hey eryn haha,Positive
you know you have some real  when you can basically tell the  to fuck off and not face any consequences,Neutral
you know you have some real  when you can basically tell the  to fuck off and not face any consequences,Neutral
my life has been fucking made with this picture,Neutral
potato gnocchi in a creamy cheese sauce with toasted pine nuts and pesto sauce  ,Neutral
 what are your views on jordan hendersons appointment as  vicecaptain tweet your messages using  ,Neutral
  check out this hot remix of the mila j smokedrinkbreakup remix by my home boy  ,Neutral
 i understand true smash love now the iconic things of your favorite game fighting other peoples passions and having fu,Neutral
 i wanna go back to vegas,Neutral
ive learned to never chase people a person will come into your life whether you want them to or not,Neutral
  revangel   predicted on,Neutral
its a french project for ur birthdays my loves  hope u like it xx  54,Positive
 people say circumcision dosent hurt i was circumcised when i was born and i couldnt walk for nearly a year ,Negative
james mcavoy is a scottish detective and hes consumed by drugs lies and grief its pretty out there,Positive
foto thorahathi maihor this was such a difficult scene to watch its haru trying to shut himself off,Negative
foto thorahathi maihor this was such a difficult scene to watch its haru trying to shut himself off,Negative
they always steal quill away from me when he come over ,Negative
totally down to help you murder avery i get like 100 notifications a day cuz her bitch ass,Negative
totally down to help you murder avery i get like 100 notifications a day cuz her bitch ass,Negative
i thought she must b pissed frank is such an ass on  cuss it makes every1 look 2 but come2 findout their just alike,Negative
i liked a  video  frank turner at de montfort hall leicester 12914,Neutral
water temp15200 c wave height0600m at 15092014 225103,Neutral
feet are frozen,Negative
feet are frozen,Negative
good morning to you oh awesome one have an amazing day and flash yoursmile  at everyone you see,Positive
good morning to you oh awesome one have an amazing day and flash yoursmile  at everyone you see,Positive
do chance sakh tapete gna rekk x,Neutral
what even is my face thats disgusting,Negative
my mom needs to answer the god damn phone its hot as hell bruh,Negative
my mom needs to answer the god damn phone its hot as hell bruh,Positive
alone baby alone,Negative
hey ryland how r u,Neutral
we must learn to take good care of what we have before asking for more,Neutral
  try to love you in a way that when your friends see the love you have they say i want that,Neutral
 nothing is worse than killing children assad has killed thousands of children some with knives  ,Negative
 nothing is worse than killing children assad has killed thousands of children some with knives  ,Negative
i love you i swear,Positive
fat asses attract me ,Positive
im praying no one saw the original tweet lol,Neutral
you can access the waste market in london more if you register on,Neutral
you can access the waste market in london more if you register on,Neutral
beauty is the marks the life leaves on us all the kicks and the caresses the memories leave us,Positive
the jean jacket has had many lives over the decades,Neutral
you dont say generation gap young scots favor independence glasgow scotland ap  across scotland dinne,Neutral
 good night world,Neutral
attractive dude in 5th who sits right next to me talks to me constantly which is gr8 ,Positive
attractive dude in 5th who sits right next to me talks to me constantly which is gr8 ,Positive
cool just be cool,Neutral
every time i hear my old job name i be like fucck yall,Negative
and the first day of 6 weeks of hell is done,Neutral
hmmph what tooooo dooo ,Negative
click here to  the walking dead season 4 with,Neutral
click here to  the walking dead season 4 with,Neutral
fast movers  its not right for you,Neutral
i just finished watching yugioh bonds beyond time kuriboh is truly a life saver,Positive
 bizco   with  and visual ampdrop   by themify,Neutral
  doles out tough love in her kids best interest,Neutral
  doles out tough love in her kids best interest,Neutral
your best price shipped,Neutral
  my crush i am girl but you are irresistible  serious,Positive
aliando syarief  pocarysweat or mizone,Neutral
new video  ,Neutral
playing now  urbanmeltdown septc seg2 on,Neutral
conn ag questions apple watch security,Neutral
uh but its harder to catch in the yellow flowers xd,Positive
wish jess didnt move schools,Negative
thiz dp is true mehn       this pple didnt write bimbo,Neutral
 lone grave marker leads filmmakers to longlost history of regina indian industrial school  ,Neutral
working out gurl,Positive
i got braids this time ,Neutral
who needs money anyway,Neutral
who needs money anyway,Negative
not me people on my twitter,Neutral
girls calling boys bae after 5 min convo ,Neutral
tonight im a bed for a cat cool,Positive
i want homecoming to be here already ,Negative
you can get super antioxidant formula for just 600 a 32 savings at tripleclicks,Positive
3 people followed me and one person unfollowed me in the last day thank you  app,Positive
 i lost 2 followers recently and i know who they are thanks to app,Neutral
going to school bye ,Positive
hi  could you maybe just idk follow me thanks  x42,Neutral
yep same here,Neutral
tomo shut up you stay here,Negative
 had great meetings this week with professionals working with young parents looking forward to taking the ethos of this,Neutral
haha hop to it,Positive
check out this video,Neutral
  johnny depp at the age of 16 ,Positive
doing an ekg on a friendan incredibly unique bonding experience ya feel me ,Positive
   they ass look just alike  nbs,Negative
my granny always talking shit  like please hair tf up,Negative
totally failed by getting a sprite at mcdonalds damn big mack mondays,Negative
totally failed by getting a sprite at mcdonalds damn big mack mondays,Neutral
  youre very welcome,Positive
 if you dont have calculus take your clean teeth home by the amazing talented,Negative
 i want that relationship where we  goof off together  beast together  grind together  shade together  and,Neutral
 i want that relationship where we  goof off together  beast together  grind together  shade together  and,Positive
 video a tennessee commit channels his inner jadeveon clowney with a helmetpopping hit  httpt,Neutral
nads,Neutral
me and raina and whoever else we be with be having the funniest sessions ever,Positive
what goes through your head what do you feel when one of your fans tells you that you saved their life,Neutral
what goes through your head what do you feel when one of your fans tells you that you saved their life,Neutral
where are you,Neutral
an alrt for the purists,Neutral
puffpuff pass,Neutral
 younes kaboul has been named as tottenhams new captain with goalkeeper hugo lloris amp striker emmanuel adebayor as vic,Neutral
allegev to state sth as a fact without giving proof,Negative
roomnate is pretty chill,Neutral
i do,Neutral
i do,Neutral
i posted a new photo to facebook,Neutral
text me 7026350948 if you need help with club access in vegas whatsapp friendly ,Positive
 so relevant ,Negative
ray has no fucks to give your doubts,Neutral
ray has no fucks to give your doubts,Neutral
last  truuu but it doesnt happen bc some people ride the bus with you all week lmao,Neutral
outside in the smoking area o,Negative
radio los santos really shaped my music taste tbh,Positive
radio los santos really shaped my music taste tbh,Positive
smuggz holiday  different settingz mixtape by dj rambo psylent vybez via,Neutral
smuggz holiday  different settingz mixtape by dj rambo psylent vybez via,Neutral
uploaded this one simple picture and got all these comments,Neutral
uploaded this one simple picture and got all these comments,Positive
 for beautiful eyes look for the good in other people  audrey hepburn,Positive
 kudos to   and the rest of the cast amp crew on a well conceived episode keep up the good work,Positive
 when they ask if you want to see them naked ,Positive
 dyk  is a 501c3 charity donate today to s raffle for  amp win prizes http,Neutral
dr praegers kids gluten free spinach littles 50 off at whole foods dr praegers coupon whole foods has th,Neutral
sometimes i act 7 sometimes i act 37,Positive
ah how sweet,Positive
keyshia cole  i should have cheated,Neutral
keyshia cole  i should have cheated,Neutral
thank you,Positive
 shortstop leader champion pay  in the jordan jeter collection launches 920  ,Neutral
 the week that will be event announcements more details on the events calendar we interrupt your regularly s ,Neutral
 gain followers  this must follow me i follow back follow everyone who rts gain   ,Neutral
good luck ,Positive
new at   greensburg pa click on ad for details and to contact owner,Neutral
new at   greensburg pa click on ad for details and to contact owner,Neutral
candy free standing washing machine 6 kg perfect work  ilford  london ,Neutral
candy free standing washing machine 6 kg perfect work  ilford  london ,Neutral
some nice car games fun here,Positive
untitled,Neutral
untitled,Neutral
morning sweetie welcome activities ,Positive
so in my 8th period today someone decided to point out all my flaws and i was just like im gonna punch you in the face ,Negative
so in my 8th period today someone decided to point out all my flaws and i was just like im gonna punch you in the face ,Negative
touch down we are in the city of angels oumiworks ridj79  los angeles international airport lax,Positive
sees you smiling hey son sees you standing tall,Positive
belk confirms plans to close regency square mall store,Neutral
i cried im so proud of him,Positive
i feel ya man well have to get together sometime,Neutral
 if time could slow down just a little bit ,Negative
 if time could slow down just a little bit ,Neutral
dawsons calm conor,Positive
the basic idea is to eliminate altogether,Neutral
new video jeezy  holy ghost after a recent arrest and his new album release jeezy shows no signs of slowin,Neutral
one person followed me in the last day thanks to  app,Neutral
well it was only a sample and not a security update so its easily expunged but  grief thats a broken recommendation 511639778505154560 6776  well it was only a sample and not a security update so its easily expunged but  grief thats a broken recommendation 511639778505154560 6777 code 179 message sorry you are not authorized to see this status 511639807856898048 6778   man  i pray for this man amp his daughter    511639837234180096 6779 code 144 message no status found with that id 511639849825492992 6780 my life sucks lol 511639866611089409 6781 my life sucks lol 511639866611089409 6782  me too flem 511639891743375360 6783 code 144 message no status found with that id 511639912718692352 6784 code 144 message no status found with that id 511639929500483584 6785  im saying oh well 511640017585053696 6786 code 179 message sorry you are not authorized to see this status 511640030184357888 6787 the fray  how to save a life  511640059540684800 6788  im more freaked out that i was shipping animated characters without realizing it though 511640114075033600 6789  im more freaked out that i was shipping animated characters without realizing it though 511640114075033600 6790 code 144 message no status found with that id 511640139219881986 6791  cams becoming more and more unattainable  511640143430569984 6792 code 63 message user has been suspended 511640147595505664 6793 code 144 message no status found with that id 511640189555703808 6794   he is actually so cute it hurts   511640193762201600 6795   doing the best at this moment puts you in the best place for the next moment  oprah winfrey,Negative
 the deadliest environmental problem today indoor air pollution  killing 4 million a year  httpt,Neutral
 strong people make just as many mistakes as weak ones do but the strong ones admit their mistakes laugh about it and lear,Neutral
guess who got camtasia,Positive
 ive come to the conclusion all girls are crazy basically ,Neutral
  chuckling snicker once in a while ,Neutral
 new update to minecraft,Negative
heeeeeey madison  i love you so muchcan you follow me please  ill never give upxoxo  x7,Negative
 us fizzy water sales are predicted to soar 12 higher as health conscious consumers embrace this category ,Neutral
what do you call a wailord that isnt female malelord,Positive
i fell in love with him like the way you fall asleep slowly then all at once,Negative
  please sign this epetition to help free marine a jailed for doing his job now has ptsd ,Neutral
 follow me please  do not ignore me  ilove you  x40,Negative
 follow me please  do not ignore me  ilove you  x40,Negative
  what,Negative
 population in billions china 14b facebook 13b india 12b tencent 1b whatsapp 06b united states 032b linkedin 03b ,Positive
love how simple you can be,Neutral
yourself with this   on sebg a marine parents ruffled pouch w goodies ends 915,Neutral
 if someone wants to buy me tickets to see the maze runner on friday you will win my heart,Neutral
santa makes a special visit to wral tv to talk about the raleigh christmas parade,Positive
 hi babe  you could follow me please  notice me i exist my love   25,Neutral
magic crochet 1983 ladies kids clothing baby afghan monkey collars hat craft   via,Neutral
damn it lonzo come on,Neutral
 louis bathroom,Negative
 louis bathroom,Positive
obsessed with this song ,Neutral
wow de lost prinsess looks like me she smiles and look to you,Negative
yusuf islam aka cat stevens announces new album and first north american tour in 35 years,Neutral
 snack efron mac efron whatever  wants to call zac  brought the hotness this week literally ,Neutral
aint she the sexiest,Neutral
 sam harris witch of the week talks sense as ever probably wont satisfy the thought police  ,Neutral
this guy obviously doesnt know tf hes talking about,Neutral
 congratulations jordan henderson future  captain fully deserved,Positive
 congratulations jordan henderson future  captain fully deserved,Negative
fellas how to speak like a gentleman  9 talking tips to,Neutral
fellas how to speak like a gentleman  9 talking tips to,Neutral
same thing i said when i got this mini lol,Neutral
i done worrying my head,Positive
i done worrying my head,Neutral
 lets get war paint to the top of the hype machine charts everyone tweet this link  and follow the ,Negative
hey baby  please follow me   i love you   6x,Positive
youre so annoying,Negative
youre so annoying,Negative
 great stat winning qbs in week 2 games thus far have thrown 25 tds and zero ints,Positive
bet i wont,Neutral
awee ,Positive
discover fantastic free phone offers on   we do great ranges on   top offers,Positive
follow me chris please i love you x16,Neutral
 word to the passionate love with no limits feel everything while you still can your intensity is not a fault but a ,Negative
  calling people from jersey   i love this vid,Negative
  calling people from jersey   i love this vid,Positive
now this is a real advancement in technology,Negative
 video team usa wins gold hits the shmoney dance on the podium,Neutral
we could straight up blame it on the whiskey ,Neutral
what the hells your name whats your pleasure and whats your pain do you dream too much do you think what you need is a cruth,Neutral
 allahs love for us is indescribable no amount of words can explain how much he loves us,Positive
  its the 16th for me omg i didnt realize,Positive
  its the 16th for me omg i didnt realize,Neutral
time then sleep,Negative
time then sleep,Positive
people dont realize theyre unintentionally pushing people away then later realize that the person didnt try to on hold when its too late,Negative
this is why i prefer to eat at home quick yes simple yes tasty yes good for us yes summer salad,Positive
with minecraft microsoft can build broader horizons its internet lego was probably the most interesting ,Neutral
teacher could have gave us atleast 1 more point ,Neutral
yess,Neutral
ive collected 305875 think you can do better,Negative
  stop this  dolphin hunt awaiting captivity and slaughter   http,Neutral
lmao its so annoying i swear i am not trying to say if phone,Positive
if you dish it out you have to be able to take it,Negative
if you dish it out you have to be able to take it,Neutral
its 2014 why cant medical science do tittie transfers yet,Neutral
25 hunnit pills in the nissan ,Neutral
i txtd u happy burrday a few days ago n u aint reply,Negative
picture this we were both butt naked banging on the bathroom floor,Neutral
tip list 3 things you want to accomplish tomorrow before you leave for work today make this list manageable and realistic,Neutral
multiple times today my heart has almost jumped out of my body anxiety and stress is not the biz,Neutral
 always nice running into  when he is on the toilet ,Negative
welcome to my twitter page,Neutral
 can we just take a moment and appreciate that halloween is on a friday this year,Neutral
beat matching meets kung fu in kickbeat special edition  releasing this week on nintendo eshop for wii u,Negative
we are aware some customers may have issues logging into myrogers were sorry and are working to resolve asap jc,Negative
cant believe most of the bad bitches are grounded ,Positive
 native net ,Positive
  make an effort to choose love and forgiveness its hard to do at times and i fail to meet such a high standard ,Negative
 my girlfriends pillows vs my pillows,Neutral
 my girlfriends pillows vs my pillows,Neutral
aw whats wrong with me ,Positive
that heffa got her retweets off ,Positive
playing world of warcraft,Neutral
shes a slag she will now be searching them on google then 10 minutes later saying been their from the start,Positive
i said i feel sweet emotion every time you are near me ,Neutral
cant wait for my birthday,Negative
cant wait for my birthday,Positive
i eat the whole sunflower seed unapologetically country,Negative
  ur black why is ur hair blondelog off lol take a glance  ur bio u fucking flamingo,Negative
worst nap ever bc this gotdam essay on my mind,Positive
worst nap ever bc this gotdam essay on my mind,Neutral
1 tweep followed thank you and 1 unfollowed goodbye me in the past week thank you ,Positive
1 tweep followed thank you and 1 unfollowed goodbye me in the past week thank you ,Neutral
holap,Positive
 the video is up demi lovato stared at ma ass  and i might dm you d    httpt,Neutral
i know we did a  last year are you interested for setting one up this year im teaching 4th,Positive
congrats  and  cofounders of  for being featured on   currently on the homepage  the top story,Positive
i got a headache,Neutral
i got a headache,Neutral
just wanted to clear dat up,Neutral
shout out to  for her tatty support ,Neutral
shout out to  for her tatty support ,Neutral
 this training ground will be named after tito vilanova,Neutral
   scouting pinterestyou school,Positive
thats never the case with sam tho just every other girl ever ,Neutral
thats never the case with sam tho just every other girl ever ,Positive
vs pizza hut  king harry  full video hd 1080p  brand new punjabi  via,Positive
vs pizza hut  king harry  full video hd 1080p  brand new punjabi  via,Negative
i am lily af,Neutral
literally been working on it for an hour ,Positive
 selena is thick,Neutral
top 5 things we value most in car infotainment with so many choices and features in the center head unit wh,Negative
 if you didnt own this orange tape you werent a kid in the 90s,Neutral
thinking out loud  ed sheeran,Neutral
 love you champ,Neutral
here ye go james,Positive
here ye go james,Neutral
   wasgudie wassgood bro,Negative
ive collected 14 406 gold coins,Neutral
ive collected 14 406 gold coins,Negative
 the nation is calling for 3d data  via the usgs tweetthis from the usgs the 3,Neutral
  us foolish to take on  amp  on new media video,Negative
 friends ill be in zürich for 9 hours on thursdaywhat should i make sure to seedo prefer not to leave the city food recos welco,Neutral
how are you helping  from your own backyard,Neutral
 its the greatest feeling in the world right now ,Neutral
 its just survival watch a preview from tuesdays allnew ,Neutral
 its just survival watch a preview from tuesdays allnew ,Neutral
correction no crash just a fucking huge fire lol,Neutral
less than 6 hours papi  ,Neutral
bruh my grandma said shell call me back two weeks ago  fuck her ,Neutral
nature walk cause theres nothing better to do,Neutral
 dodgers nationals angels all 92 to win world series  tigers orioles 61 cardinals 71 as 81 giants 14,Neutral
 though vampires made me sick i was curious as to whether or not  was being genuine or whether she was trying to c,Neutral
i think you should ask pakistanis to retweet these vidoes hopefully they will stop lying after watching these,Neutral
 unfortunately we all too often get so caught up in what others tell us about who we are that we fail to do our own inve,Neutral
if serving is below you leadership is beyond you ,Neutral
got dumb dumbs lunch ready for tmrw now lets hope i dont forget it,Neutral
got dumb dumbs lunch ready for tmrw now lets hope i dont forget it,Negative
   when you wanna fuck but you cant cuz yall cousins cmon gz lmaoo,Neutral
im hoping it just needs to be charged,Neutral
 stingray ,Negative
 stingray ,Negative
the day one of my teachers mentions sexism rape culture slutshaming the objectification of women and double standards is the day ill ,Neutral
move ,Neutral
animatronic rocket the raccoon might need  to translate tho,Negative
one person followed me in the last day thanks to  app,Positive
alright what is it lol,Positive
please pick    16,Neutral
hahahaha yeah were inaccurate often,Positive
