,Tweet,Sentiment
16875, dopisovanje o noveli arhivsega zakona zgodovinarka t griesserpečar in predsednica nsi ljudmila novak  reportersi h,Neutral
16876,sreco jel to medijski linc,Positive
16878,ogrevanje prostora za manj kot en evro na dan video,Neutral
16882,objavljena nova lista dužnika po osnovu pdv firme iz kantona duguju preko 17 miliona km,Negative
16883,še bolj zanimivi so neglasovi v alde in pes d,Negative
16885,huh a je to negative product placement ali almost product placement ,Positive
16886,huh a je to negative product placement ali almost product placement ,Positive
16887,rtvš video boj za neodvisnot in obstoj rš  dogajanje pred sedežem šou v podporo rš od policistov do neonacistov ,Negative
16888,rtvš video boj za neodvisnot in obstoj rš  dogajanje pred sedežem šou v podporo rš od policistov do neonacistov ,Positive
16889, vreme jebemti mater poroča arso,Neutral
16895,ps nucam nove kavarne v lj nujno velike mize  music not too loud ideas,Positive
16896,ps nucam nove kavarne v lj nujno velike mize  music not too loud ideas,Positive
16900,hud movie  najboljši mi je pa tale dovtip,Negative
16901,in zgodba se nadaljuje 365025  buttsex,Neutral
16902,kako izgleda pogled iz ameriške perspektive na našo evropsko južno soseščino,Neutral
16903,priproročam da kakšen dan ne hodite na  zdaj je tam moda filmčkov kaj sem počel na fb v 1 minuti samo da je frekvenca postov 10min,Neutral
16904,sej bom dala kapo gor bo mal pomagalo ,Positive
16905,zdajle ene sedmič tnx to you ,Neutral
16906,zagarantirana izguba živcev v samo parih minutah d gt flappy bird žnostpoškodbemobitelazeloverjetna  čzlomsinogo d,Negative
16907,sicer pa res iskrene pohvale prostovoljcem cz gasilcem in ostalim terenskim delavcem te dni jaz sem namreč sebično doma na toplem,Negative
16909, lipica turizem doo brezplačno nudi prebivalcem prizadetih območij 50 postelj v hotelu maestoso v lipici v httpt,Positive
16910,sobotni večer je bil kot nalašč za sevdah medtem ko je zunaj padal leden dež so v toplem zavetju kluba channel,Neutral
16914, zunaj ledena doba dobri ljudje pomagajo vlada in dz pa sprejemata zakon o delu na črno,Positive
16915,za  bi rada posnela en kratek pogovor s to oseboskupino za oddajo dobra dela,Neutral
16916,huhu mene so tut moral budit ponoci ker so misnli da sm mrtva ker sem bla skos tih probi morojev refleks da se zdrzne pa zbudi,Neutral
16917,huhu mene so tut moral budit ponoci ker so misnli da sm mrtva ker sem bla skos tih probi morojev refleks da se zdrzne pa zbudi,Positive
16918,v cerknici kar 400 prostovolnih in poklicnih gasilcev in le cca 40 vojakov kaj naši vojaki ne bi mogli bolj številčno pomagati,Neutral
16919,pomoje ne prevec prijazen nacin zbujanja ustrasis otroka pol pa kril z rokami d,Neutral
16920,kdo pa je začel,Positive
16921,kdo pa je začel,Positive
16922,tehnologija  dell po menedžerskem prevzemu odpušča  slotech the register  lani je po dolgem plesu okrog p,Positive
16923,bi impel kdo htc one kolega prodaja,Neutral
16924,tako dober kot gams,Negative
16925,g r i p a  generalni reset in ponastavitev aktivnosti organizma,Negative
16927,ja ampak si nisem mislil da se bo sprožil tak plaz ampak se bo hitro končalo takokot se vse,Neutral
16928,o alenki naravni katastrofi in cenah goriva pravijo če imaš takšno vlado ki sredi največje naravne,Positive
16929,zanima me kaksen vpliv ima slovenska matica med tviterasi,Neutral
16930,slovenska futsal reprezentanca je v četrtfinalu ep morala priznati premoč španiji,Negative
16931,sem ga pa uporabil v softwareu ki se je instaliral na okoli 300k masin in nihce ni mel se problema zaradi njega,Neutral
16933, dopisovanje o noveli arhivsega zakona zgodovinarka t griesserpečar in predsednica nsi ljudmila novak  reportersi h,Neutral
16934,se slovenski matici kolca po najini  statusni rešitvi ostajajo jim očitno sladke obljube,Negative
16935,ze ti bogca zascitit puncko cimprej ,Neutral
16936,v cerknici kar 400 prostovolnih in poklicnih gasilcev in le cca 40 vojakov kaj naši vojaki ne bi mogli bolj številčno pomagati,Negative
16937,sam še 1 tedn da bo koleno ok pol pa trenirat ,Neutral
16938,selitev  mojca pišek,Neutral
16939,za une ki so brez elektrike in vode ni pozno,Neutral
16940, izjemne fotografije bravo iztok,Neutral
16941,temu se reče prime time oglas,Neutral
16944,še je živ  naj tako ostane,Negative
16945,evo to je vzrok da danes izgine pol vaše plače  ford delivers its first car july 23 1903 ,Negative
16946,ko ob taki uri iščeš carinske tarifeto bo še pestro leto ,Negative
16947,vagivadba oziroma vaginalno dvigovanje uteži učinkovito okrepi ženski spolni organ in pripomore k nepozabnim,Positive
16950,tako kot parafrazirajo oz cp godardjev postati nesmrten in potem umreti v trailerju za žtk vir bi lahko dodali,Negative
16951,ironija je da se jim z vidika tajminga zna celo iziti,Neutral
16952,ironija je da se jim z vidika tajminga zna celo iziti,Neutral
16953,opral glavo danes si zdaj še rimati začel srečni bomo tudi mi  to so čnerime ,Negative
16956,zakaj običajni ljudje postanejo angeli ali demoni,Negative
16958,kar mene zadeva je članstvo sds ponosno na svoje evropske poslance,Neutral
16959, a kdo v lj ne potrebuje agregata in bi ga posodil znanec isce menda bo se nekaj casa brez elektrike,Negative
16960,kako so na vprašalnik papeža frančiška o izzivih družine odgovarjali nemški katoličani,Neutral
16961,kako so na vprašalnik papeža frančiška o izzivih družine odgovarjali nemški katoličani,Neutral
16962, a kdo v lj ne potrebuje agregata in bi ga posodil znanec isce menda bo se nekaj casa brez elektrike,Positive
16963, vreme jebemti mater poroča arso,Neutral
16964, a kdo v lj ne potrebuje agregata in bi ga posodil znanec isce menda bo se nekaj casa brez elektrike,Neutral
16966, slika iz 30ih let prejšnjega stoletja a ponovno relevantno,Positive
16967, zakaj običajni ljudje postanejo angeli ali demoni,Negative
16968, zakaj običajni ljudje postanejo angeli ali demoni,Neutral
16970,  vi danes sklepate zavezništvo s socialistično nacionalo čestitke,Positive
16971,sori samo tlele pa ne zgledaš glih v top formi  ča,Positive
16972,rabis kak nov ssd ,Positive
16973,ice age  postojna,Neutral
16975,nekdo me je vzel na piko,Negative
16977, a kdo v lj ne potrebuje agregata in bi ga posodil znanec isce menda bo se nekaj casa brez elektrike,Positive
16978, a kdo v lj ne potrebuje agregata in bi ga posodil znanec isce menda bo se nekaj casa brez elektrike,Positive
16979,še sreča da obstaja stres sicer bi bila zelo osamljena,Neutral
16980,upam da nas ne pričaka tak zlovešč prihod v službo po vajini divji noči po lj  mleko za zajtrk,Neutral
16981,upam da nas ne pričaka tak zlovešč prihod v službo po vajini divji noči po lj  mleko za zajtrk,Neutral
16982,samsamto ni za jestd,Neutral
16983,samsamto ni za jestd,Negative
16985,s prvim japoncem sem imela smolo a so mi poleg nemcev kar zakon,Negative
16986,rešil si vse programerske uganke ki se jih jutri seveda ne boš spomnil ,Positive
16987,rešil si vse programerske uganke ki se jih jutri seveda ne boš spomnil ,Positive
16988,razen če kažeš 10 fps animacijo ,Positive
16989,svaka cast  in  reportaža iz kijeva  via ,Neutral
16990,oblaki so plasma fractal aka procedural noise  dajo se lepo sprogramirat v javascriptu,Neutral
16991,najboljša je zdrava sebičnost  delaš drugim dobro ker se potem počutiš fajn works every time ,Neutral
16992,najboljša je zdrava sebičnost  delaš drugim dobro ker se potem počutiš fajn works every time ,Neutral
16993,sosed me spet nekaj moti upam da risa prideta kaj mimo,Neutral
16994,sosed me spet nekaj moti upam da risa prideta kaj mimo,Positive
16995,slovenija  z agregati ni proizvodnje  dnevnik ledena ujma je močno prizadela tudi gospodarstvo v večjih no,Neutral
16996,slovenija  z agregati ni proizvodnje  dnevnik ledena ujma je močno prizadela tudi gospodarstvo v večjih no,Neutral
16997,ma zakaj mi ne da miru misel da bomo vso resnico o vitomilu zupanu morda slišali šele ob 100letnici njegove smrti,Negative
16999,kaj rece ris ko pobegne iz zivalskega vrta riso,Negative
17000,kaj rece ris ko pobegne iz zivalskega vrta riso,Neutral
17003,praznovali bodo tudi v mini teatru na križevniški ulici v ljubljani ob 17 uri bodo 8 2 uprizorili pekarno mišmaš,Positive
17004, ki je želel v vrh glavne organizacije ki ščiti človekove pravice je glasoval proti čl pravicam lgbt,Positive
17009,doslej najhujši žledolomi v sloveniji le senca tokratnega,Neutral
17010,predlagam standard pod zemljo,Neutral
17011,sabah hairllah  dobro jutro svim dobrim ljudima širom svijeta  jeste li se naspavali je li i kod vas,Positive
17012,na zahodni ljubljanski obvoznici je med razcepom kozarje in priključkom brdo promet proti kosezam ,Neutral
17013,en senat višjega sodišča da več stečajnim upraviteljem drugi upnikom kdo bo zmagal  radosti stečajne zakonodaje,Positive
17014,kaj če zaradi ujme zamujate pri dursu in kako je z bankami,Negative
17015,kaj če zaradi ujme zamujate pri dursu in kako je z bankami,Negative
17016,neprofitno stanovanje direktorja je na varni strani radarja,Positive
17017,ameriška in nemška borza drsita proti magičnim mejam,Neutral
17018,ameriška in nemška borza drsita proti magičnim mejam,Negative
17019,komentar tadej kotnik mds največja težava evrskega območja je brezposelnost,Neutral
17020,  ki je želel v vrh glavne organizacije ki ščiti človekove pravice je glasoval proti čl pravicam lgbt http,Neutral
17023,probam danes jutri,Neutral
17025,sej bo no,Positive
17026,in ena pn je poledenela norija hvala,Positive
17028,  ki je želel v vrh glavne organizacije ki ščiti človekove pravice je glasoval proti čl pravicam lgbt http,Neutral
17029,  ki je želel v vrh glavne organizacije ki ščiti človekove pravice je glasoval proti čl pravicam lgbt http,Neutral
17030,ej prenapeteži marvin gaye porkaduš,Neutral
17031,no saj grejo v cevi če je elektrika v večjih mestih vsa pod zemljo speljana pa naj gre še med mesti,Positive
17032,olimpijske igre menda fenomenalna nova funkcija za janeza kocijančiča,Neutral
17033,a je zunaj še zima no pol ne vstanem,Neutral
17034, na gorenjskem se ob novozapadlem snegu še naprej podirajo drevesa,Positive
17035, na gorenjskem se ob novozapadlem snegu še naprej podirajo drevesa,Neutral
17036, v sloveniji 174 kilometrov električnih daljnovodov na tleh in pred vrati referendum o arhivih no vsaj prioritete imamo p,Positive
17037,še vodo elektriko in gretje priklopimo nad posteljo pribijemo vladimira pa bo vaša soba tipitopi voda elektrika in gretje niso v ceni,Neutral
17038,na primorski avtocesti je pred počivališčem lom promet proti ljubljani oviran zaradi prometne ,Negative
17040,ali ves da ima iphone 5s gobi 9x25 modem ki podpira lte cat 4 omejen je na cat 3 le na dolocenih operaterjih na slovenskih ni,Neutral
17041,nissan s hibridom v le mans,Neutral
17042,psa proizvedla 2 milijona motorjev ep,Neutral
17043,original je v ng pokrov na repliki je pa letos res drugačen ker nadomešča gradbeni oder naokoli ,Positive
17044,na koncertu rhcp sem si želel da bi imeli tudi takrat instrumente na playback bi vsaj lahko prepoznal kakšen komad,Neutral
17045,grozno da se čaka morda pa ljudje ne vedo kam se morajo obrniti,Negative
17046,odbor dz za kmetijstvo danes tudi o gozdnih cestah in prevoznicah,Neutral
17048,ne razumeš za  gre ,Negative
17049,zanimivo nisem vedel sem mislil da je cat 3 torej pri nas gredo z njim tudi cat4 hitrosti jaz imam 5 ne 5s,Negative
17050, a1 ljubljanska juž obvoznica zastoj,Negative
17051,prvič letos nataknil škornje občutek imam kot da hodim kot grda račka d,Neutral
17052,župani kdaj boste poklicali,Negative
17053,župani kdaj boste poklicali,Neutral
17054,tista srna pred vama izgleda slastna za amuse bouche,Negative
17055,je pa idealni čas za začetek pogovora s popolnimi neznanci žal,Neutral
17057, ob padavinah bo še nastajal žled veter bo povzročal dodatna lomljenja dreves,Neutral
17058,no pa je bil prvi vokal na ,Positive
17059,tole je menda primerno za valentinovo ker mi ga kupi nardim večerjo al neki,Neutral
17060,jutri izide novi avto magazin v njem pa tudi vtisi s prve vožnje s prenovljeno insignio opc 325 konjev in,Positive
17062,kaj sta fantomska risa o katerih govori vsa slo še vedno na prostosti gremo mi po svoje tretji del,Neutral
17063,ne le na 5s je cat 4 sej bom danes dokazal z speedtestom ,Negative
17066,da ne omenjamo prestic in polnih gobcev ,Negative
17067, v sloveniji 174 kilometrov električnih daljnovodov na tleh in pred vrati referendum o arhivih no vsaj prioritete imamo p,Negative
17071,morda pa jih hočejo zakuriti in s tem pomagati prezeblim ljudem,Negative
17072,morda pa jih hočejo zakuriti in s tem pomagati prezeblim ljudem,Positive
17073,danes dobrin ne primanjkuje problem je njihova neenakomerna porazdelitev,Neutral
17074,razmere na območju elektra maribor so se ponoči spet poslabšale,Positive
17075,razmere na območju elektra maribor so se ponoči spet poslabšale,Neutral
17077, na vidiku je slovenska različica serije macgyver pahor končuje politično kariero,Negative
17080,samo tri sem mislil da jih bo več ,Negative
17081,včasih je vse kar zjutraj rabim samo skodelica črne kave dolg vroč tuš ena ura na netu 5 ton mejkapa  in o fakinšit zamujam v službo,Negative
17082, včasih je vse kar zjutraj rabim samo skodelica črne kave dolg vroč tuš ena ura na netu 5 ton mejkapa  in o fakinšit zamu,Negative
17083,maš prav da je zahtevna ne da bi takega ampak take bi p,Neutral
17086, nissanova virtualna testna vožnja v googlovi storitvi street view  shared via tweetcaster,Neutral
17088,  ki je želel v vrh glavne organizacije ki ščiti človekove pravice je glasoval proti čl pravicam lgbt http,Neutral
17091, res ne razumem kako si primeren za podpredsednika ne pa za predsednika  pogoji so enaki   http,Positive
17092, zelo sem vesel da stranka tako uspešno nabira podpise za referendum vse se upogne amp zlomi le neumnost je neuničljiva,Neutral
17093,voznik sporoča da je zastoj na gorenjski avtocesti pred izvozom šmartno proti ljubljani opozarja na nevarnost naleta,Negative
17094,zaščiteni izdelki in slovenska tradicija  ponudba je kljub majhnosti naše dežele zelo raznolika,Positive
17096, tovarišija priklopiti v živo na val 202 čez par minut premierno naslovni komad z nove plošče samo da prođe ,Neutral
17098, novakova bogovič šoltes in lubej o politiki za skupno dobro  reportersi  via,Neutral
17101,50 popust na presnemavanje audio kaset 1 ura v različne formate wav mp3 na cd ali dvd,Positive
17102,skupna lista maščevanje ,Negative
17105,1   1 vedno   ko vidim hashtag igslovenia vedno pomislim da je bila fotka posneta na igu,Neutral
17106,drgač bolj upam da mi bo vseeno al pa bom sam sebe razvajal,Neutral
17107,haha to je res samo riba in nutela no no ampak dober tek,Negative
17108,no sej men tud ni neki sam če si sam zna mal zabedirat čeprav tud to upam da ne bo ja ja naj drugi še za nas uživajo ,Neutral
17109,ko se zbudiš v totalni paniki ker imaš samo še en dan do izpita kaj pa če ne bi,Neutral
17110,bulšitometer pregorel  novakova bogovič šoltes in lubej o politiki za skupno dobro ,Neutral
17111,dobro jutro danes v delu ne prezrite tematskega sklopa o varnostnem vidiku olimpijskih iger v sočiju,Positive
17112,  nas je kar nekaj vidim,Negative
17113, dopisovanje o noveli arhivskega zakona zgodovinarka t griesserpečar in predsednica nsi l novak  reportersi http,Positive
17115,sem bil enkrat zdavnaj v križankah pa ni bilo švoh,Neutral
17116, lokografija  fotkanje vlakov,Positive
17117, lokografija  fotkanje vlakov,Neutral
17118,primorska avtocesta zaprta med nanosom in senozecami,Neutral
17119,mal pocak neki se dopolnjujejo,Positive
17120, dobro jutro danes v delu ne prezrite tematskega sklopa o varnostnem vidiku olimpijskih iger v sočiju ,Neutral
17121,en nasvet mogoc bi blo bolj koristno da to tvitnete zvecer zdej jim je verjetn ze jasno ,Neutral
17122,nujna prometna informacija zaradi čiščenja snega zaprta avtocesta in izvoz nastajajo zastoji,Neutral
17123,dopisovanje o noveli arhivskega zakona zgodovinarka t griesserpečar in predsednic reportersi  via,Neutral
17124,od jankovićevih podjetij terjajo milijon evrov,Neutral
17125,od jankovićevih podjetij terjajo milijon evrov,Neutral
17126,aja ne ne par tvitov je bilo na streamu pa sem se spomnil na gimnazijska leta,Neutral
17127,zgodovina se ponavljasls in nsi bojta se janševega maščevanja tako pač počenja s služabniki,Neutral
17128,zgodovina se ponavljasls in nsi bojta se janševega maščevanja tako pač počenja s služabniki,Neutral
17129,užitek ob jutranjem stiskanju je obratno sorazmeren s temperaturo in časom ki je na voljo,Neutral
17130,tistih nekaj njih bo že še dobilo svojo dozo za vsako rito palica raste trenutno je leta v žledu a ne bo za vselej ,Neutral
17131,tistih nekaj njih bo že še dobilo svojo dozo za vsako rito palica raste trenutno je leta v žledu a ne bo za vselej ,Neutral
17132,če nsi misli resno sodelovati z lubejemampco to samo pomeni da so nam uspešno ukradli stranko in nas ponovno napeli,Negative
17134,ja prav imaš,Positive
17135, kako se rusija samosramoti v sočiju novinarji brez vode sob kljuk na vratih luštn ,Negative
17137, od jankovićevih podjetij terjajo milijon evrov,Negative
17141,tiramisu na hitro recept si oglejte na  vas je prepričala taka priprava priljubljene sladice,Neutral
17142,primorska avtocesta je zdaj spet prevoznaq med razcepom nanos in priključkom senožeče v obe ,Neutral
17143, v iskanju novih sodelavcev  grafičnih oblikovalcev portfolio  cv gt zaposlitevsi,Neutral
17146,vložena obtožnica zoper mimovića in petriča,Neutral
17147,vložena obtožnica zoper mimovića in petriča,Negative
17148,res res lej kok so lušni ,Neutral
17149,lepa,Positive
17150,poslanstev je zelo veliko vsakomur je naloženo kakšno in ni nujno da je povezano s skrbjo za otroka,Neutral
17151,poslanstev je zelo veliko vsakomur je naloženo kakšno in ni nujno da je povezano s skrbjo za otroka,Neutral
17154,ne razen če misliš longterm parking kao parkandfly ,Negative
17155,povožena kartonasta škatla tko se počutim,Positive
17156,jep men je slabo postalo,Positive
17158,ob 9 bila na govorilnih med izpitnim obdobjem ce ne drugega je priznat treba da je pomanjkanje casa mati zgodnjega vstajanja,Positive
17159,v ljubljani sta me ustavila pobegla pingvina sprašujeta v katero smer je postojna,Neutral
17160, evo pa te več ne bom spravila na bus ,Positive
17161, evo pa te več ne bom spravila na bus ,Neutral
17162, naj ponovno omenimo da je gospod zaposlen na elesu,Positive
17163,kultura  giacomettijevi kipi ob baročnih mojstrovinah v rimski vili borghese  rtvslovenija v rimu so na og,Neutral
17164,pogled v leto 2017 v šolah spodbujajo podjetnost naših otrok,Positive
17165,do kdaj majo namen strajkat,Positive
17166, medtem v slo  tema meseca dogajanje med 45 in 88 mds največja težava eu območja je brezposelnost ,Positive
17167,slovenija  ledeni oklep elektrika se počasi vrača a ne povsod ponoči dodatne okvare na omrežju elektra lju,Negative
17168, opozorilo iskalcem zaposlitve prek   preverite da ne gre za goljufijo ,Negative
17169, opozorilo iskalcem zaposlitve prek   preverite da ne gre za goljufijo ,Neutral
17170,prenovljena igralna konzola ouya pripravljena na osvojitev igričarjev,Negative
17171,alenka bratušek predsednica vlade ponosna sem da sem prva predsednica vlade upam da ne tudi zadnja,Neutral
17172,njoj su bitne ankete a to sto ne nastupa to je ne bitno,Neutral
17173, soseda gleda kot ris sosed pa kot gams,Neutral
17175,kratki test škoda yeti outdoor 20 tdi 4x4 ambition,Neutral
17177, včasih so se obiski že na vratih drli ej maš kaj za spit danes jih najprej zanima ej kolk maš pass za wifi,Positive
17178,dokumentirano,Positive
17179,dokumentirano,Positive
17180,zapasala mi je nevihta,Positive
17181,toliko o poenostavitvahkako zvoziti med novimi birokratskimi ovirami  via,Positive
17182,banke čepijo na mladinski knjigi in izgubljajo denar  via,Positive
17186, zakaj se lomijo drevesa ali moja interpretacija o norcih in norosti  via,Positive
17189,če se odločiš v 30 minutah ti podarim še polnilec  sporoči,Positive
17190, pošlji sms gasilec na 1919 in dobiš djabe češki radler ob u žoga šiška  cc ,Positive
17191,karl marx je imel prav,Negative
17192,retweet od prejle shranite si tale youtube clip in ga poglejte po tem ko boste gledali her na glas se smejim,Neutral
17193,samo še nekaj uric in tudi male junakinje bodo lahko udomačile zmaja,Neutral
17194,poslovalnica nlb v logatcu spet odprta postojnska med 9 in 11,Positive
17198,zato ker vedno delamo novega zdej  railse študira in bo zihr ful džazn ,Positive
17199,zato ker vedno delamo novega zdej  railse študira in bo zihr ful džazn ,Neutral
17201,kdaj bo znana lista dl za evropske volitve,Neutral
17202,ali se bo dl aktivno zavzela za odpravo sistemske diskriminacije lgbtparov še v 2014 in podprla zakonske izboljšave,Positive
17203,kdaj bo znana lista dl za evropske volitve,Negative
17207,a un personal nexus imaš zadnjo verzijo 422 or sth,Neutral
17208,navodila za vse fante in  v razmislek vsem dekletom ,Negative
17210,brez kančka kritične presoje to pa je tudi edini popravek iz mojih ust,Positive
17211,brez kančka kritične presoje to pa je tudi edini popravek iz mojih ust,Negative
17212,lepa označim ene par pa mogoče ti bo pa kera všeč ,Negative
17213,te razumem eksperimentiram oprosti ,Neutral
17214,ni prav ker s tem ogrožajo tudi ostale,Neutral
17215,maratonski koncert ob desetletnici uršula ramoveš in fantje z jazbecove grape v klubu cd na kulturni praznik,Neutral
17216,maratonski koncert ob desetletnici uršula ramoveš in fantje z jazbecove grape v klubu cd na kulturni praznik,Neutral
17217,prosena kaša s suhimi slivami takšen zajtrk bo poskrbel za dobro delovanje vašega črevesja prosena kaša ki ,Negative
17219, hvala vsem podpisnikom referendumske pobude proti zapiranju arhivov velik odziv članov   ,Positive
17220,na koncu bosta pa skocila drug v drugega kot dva tigra lol,Positive
17221, zakaj se lomijo drevesa ali moja interpretacija o norcih in norosti  via,Negative
17222, zakaj se lomijo drevesa ali moja interpretacija o norcih in norosti  via,Negative
17223,število deložacij se je v letu 2012 povečalo za 21 83   430997122544975872 warningtweepybinderrate limit reached sleeping for,Negative
17225,vreme je popolno čas za rekreacijo,Neutral
17226,vreme je popolno čas za rekreacijo,Positive
17229,drugič  že ve in ti lahko zaupa kako me je imel nekdaj shranjenega v telefonu d,Neutral
17231,sponzor ljudje dobri po duši in srcu ,Positive
17235,vodila pa jaz tokrat je na nočni obisk na  prišel jure godler prijetno poslušanje  ,Negative
17238,za slikce iz  se je zbudil se   vsi gledat ,Neutral
17240,jee jst sm tud not   v 59 apparatusu govorim z  o žvpl zasebnostih nastav fb in matkurji,Neutral
17241,virtualni učitelji in plonkanje s pomočjo kamer in slušnih aparatov,Neutral
17242,virtualni učitelji in plonkanje s pomočjo kamer in slušnih aparatov,Neutral
17243,glosa o mističnih bitjih ki prebivajo v ljubljanskem zoo  žled,Neutral
17245, poskusimo se enkrat pozna kdo kakšnega dobrodelneža oz ljudi ki delajo dobra dela iz celja hvala za ,Positive
17246, poskusimo se enkrat pozna kdo kakšnega dobrodelneža oz ljudi ki delajo dobra dela iz celja hvala za ,Negative
17250, poskusimo se enkrat pozna kdo kakšnega dobrodelneža oz ljudi ki delajo dobra dela iz celja hvala za ,Positive
17251, karl marx je imel prav,Neutral
17252,le 6  kmetov mlajših od 35 let nova  spodbuja zaposlovanje podjetništvo inovacije amplokalno oskrbo s hrano,Negative
17253,le 6  kmetov mlajših od 35 let nova  spodbuja zaposlovanje podjetništvo inovacije amplokalno oskrbo s hrano,Neutral
17254,mučno življenje študenta,Neutral
17255,mučno življenje študenta,Neutral
17256,tihožitje,Positive
17257, poskusimo se enkrat pozna kdo kakšnega dobrodelneža oz ljudi ki delajo dobra dela iz celja hvala za ,Negative
17258,slovenka športna direktorica olimpijskega smučarskega središča v sočiju  ,Neutral
17259, zaklente komentarje pod člankom,Neutral
17260,bomotakoj ko bomo izbrali ,Neutral
17263,pomoč prizadetim območjem je na terenu že od petka civzaščita gasilci vojska gozdarji elgosp komunala ,Negative
17264,sem pa še mal šluknu pol pa šou avtobus vozit v tem krasnem vremenu pa to,Neutral
17265,dežela številnih agregatov v drugo agregatno stanje,Negative
17267,prvi udeleženci okrogle mize  že zbrani z nami bo tudi,Negative
17269,kaj pomeni preusmeritev v eko kao začnem kaj vse moramo storiti to in še več v novem bioužitkovem videu,Positive
17270,kaj pomeni preusmeritev v eko kao začnem kaj vse moramo storiti to in še več v novem bioužitkovem videu,Neutral
17271,ja bi bio na tebi ninadobesedno,Neutral
17272,par utrinkov s seasons best žura iz dvorec zemono official big ups to peter nikolic amp ajda domicelj,Negative
17273, komentar   zakaj se lomijo drevesa,Neutral
17274,vezje je ze bilo why ker greva jutri s sodelavko tha snemat in ni rada izkoristila mojo prisotnost tam da ne bo sam lj based,Negative
17278,izkoristite priložnost zdaj   z  v živo se je začel,Positive
17279,izkoristite priložnost zdaj   z  v živo se je začel,Negative
17280,luna je pravkar vstopila v bika energija se obrača navznoter in sedaj občutimo močnejšo povezanost s telesom,Negative
17281,hvala te pogresamo,Positive
17282, odprava nastale škode žled v gozdovih možna tudi iz  sklada za razvoj podeželja člen 24 ,Neutral
17283, odprava nastale škode žled v gozdovih možna tudi iz  sklada za razvoj podeželja člen 24 ,Positive
17284,okrogla miza  se je začela prva bo spregovorila,Neutral
17285,revija  ugotavlja karl marx je imel glede kapitalizma prav  originalni članek,Negative
17288,znanka na shujševalni deti veš kaj bi blo čisto hudo če bi bilo brez glutena jaz ta pogovor,Negative
17289,vse belo snega tolk da bomo smučali celo poletje verjetno se ni treba bat da drugo leto na ski openingu ne bo,Positive
17292,samo še vodovod naluknjamo za gejzirje pa je to to,Neutral
17293,ja žalostno navijanje cen za agregate v zadnjih dneh je oblika tega kor poznamo pod besedno zvezo  vojno dobickarstvo,Negative
17294, znanka na shujševalni deti veš kaj bi blo čisto hudo če bi bilo brez glutena jaz ta pogovor,Neutral
17295,energetski svetovalec o tem kako gradnjo enodružinske stavbe dokončati tako da bo energijsko učinkovita,Negative
17296,kinvitalova 10ka  priprave na mali kraški maraton brezplačni skupinski tek v soboto 8 februarja  park tivoli ,Negative
17297,konkretno pac nekaj o cemer bi lahko govorila 10 minut,Negative
17298, najnovejši podatki o brezposelnosti mladih v januarju 2014  33920 oz 4 3 povišanje glede na december,Negative
17300,taborniki,Positive
17301, okrogla miza  se je začela prva bo spregovorila,Positive
17302,pravkar v mestnem muzeju ljubljana okrogla miza tvoja evropa  tvoj glas,Negative
17303,gruzija stavi na najboljše kar ima,Neutral
17305,pa hvala,Negative
17306,mitja urbanc iz šos na  slovenija ne zna identificirati potenciala mladih nujno sprejeti tudi širšo strategijo zaposlovanja mladih,Negative
17307,mitja urbanc iz šos na  slovenija ne zna identificirati potenciala mladih nujno sprejeti tudi širšo strategijo zaposlovanja mladih,Neutral
17309,urša živjo potrebovali bi malo več podatkov cenovna omejitev barva ,Negative
17310,na gorenjski avtocesti je oviran promet zaradi prometne nesreče med priključkom lesce in galerijo ,Positive
17311,1522014 kranj bazen fb event če nameravate na koncert  tam dobite tudi vse informacije,Negative
17312,bratuškova še vedno je največji problem oskrba z elektriko,Positive
17313,da mu bi le uspelo ,Neutral
17314,ej  kako se je končala včerajšnja nagradna igra serija romanov mal me firbec matra,Neutral
17315,a se spomnite kako se imenuje ena huda interaktivna predstavitev slovenskih raziskovalcev prosim,Negative
17316, a se spomnite kako se imenuje ena huda interaktivna predstavitev slovenskih raziskovalcev prosim,Neutral
17318, a se spomnite kako se imenuje ena huda interaktivna predstavitev slovenskih raziskovalcev prosim,Negative
17319,nina milenkovič kikelj iz  na  aktivna politika zaposlovanja kot dejala tudi  lahko reši samo del težav,Positive
17320,nina milenkovič kikelj iz  na  imeti brezposelne mlade je tudi zelo drago za državo dajmo izkoristiti potencial mladih,Negative
17321,mogoče pa samo še ž ,Negative
17325,jutri grem v celjed sej bom se malce pobrskala hvala za trud,Positive
17326,ne prezrite poskusni google now za brskalnik chrome,Neutral
17327,tretji tematski sklop letošnje konference bo posvečen družbenim medijem za vas ga pripravlja ,Negative
17328,tretji tematski sklop letošnje konference bo posvečen družbenim medijem za vas ga pripravlja ,Neutral
17329,mt   iz mss na  imeti brezposelne mlade je tudi zelo drago za državo dajmo izkoristiti potencial mladih,Negative
17330,mt   iz mss na  imeti brezposelne mlade je tudi zelo drago za državo dajmo izkoristiti potencial mladih,Negative
17333, o ne kaj bomo pa zdaj pili,Positive
17334,da ne pozabimo  v petek je prvi dan 6 mednarodne konference žensk discover the source of energy within lt3,Positive
17335,  mogoč bi lahk bil mal bolj aktiven na tviterjih 53 days ago ,Neutral
17336,hecno se mi zdi kako se jih postavlja kot ekvivalentno nevarnost kot skine,Neutral
17337, na  predlogi mss glede zaposlovanja mladih zapisani programskem dokumentu zaposlovanje mladih,Neutral
17338,ne hecno no debilno,Neutral
